Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
132172,Humanities,Junior,3.136,7.09,Copywriting/Drafting,Beginner,1,TRUE,12.48,6,Allowed_With_Citation,1,3.416,66.31,Medium
105558,Business,Graduate,3.143,0.11,NaN,Beginner,1,TRUE,15.09,2,Actively_Encouraged,5,3.549,92.56,Medium
131156,STEM,Junior,NaN,28.86,Debugging/Troubleshooting,Advanced,5,TRUE,15.96,6,Actively_Encouraged,2,3.578,70.63,High
132259,Humanities,Senior,2.99,3.46,Copywriting/Drafting,Intermediate,2,TRUE,13.27,3,Allowed_With_Citation,5,3.424,72.56,High
105151,Humanities,Freshman,2.956,0.95,Debugging/Troubleshooting,Intermediate,3,TRUE,7.65,1,Actively_Encouraged,4,2.943,83.53,Low
131229,Medical,Freshman,3.253,7.14,NaN,Intermediate,3,TRUE,12.14,3,Actively_Encouraged,NaN,3.481,83.82,Medium
110970,STEM,Freshman,2.686,13.8,Direct_Answer_Generation,Beginner,2,FALSE,7.78,5,Actively_Encouraged,2,2.74,66.67,Medium
123658,Humanities,Junior,3.032,9.01,Debugging/Troubleshooting,Intermediate,5,FALSE,1,3,Allowed_With_Citation,4,3.156,71.16,Low
138959,Business,Junior,2.755,16.92,Ideation,Intermediate,1,FALSE,3.86,4,Allowed_With_Citation,7,2.892,69.33,Medium
110225,STEM,Sophomore,3.337,9.9,Summarizing_Reading,Intermediate,4,FALSE,14.09,6,Allowed_With_Citation,8,3.43,92.82,Medium
109442,STEM,Sophomore,2.964,5.55,Debugging/Troubleshooting,Advanced,3,FALSE,NaN,3,Actively_Encouraged,6,3.246,67.58,Low
127944,Humanities,Freshman,3.394,16.71,Debugging/Troubleshooting,Beginner,2,TRUE,12.8,3,Actively_Encouraged,6,3.43,51.97,Medium
101310,Arts,Freshman,3.74,0.01,Debugging/Troubleshooting,Intermediate,1,FALSE,17.38,2,Strict_Ban,6,NaN,92.88,Medium
143413,Arts,Junior,3.391,5.22,NaN,Intermediate,2,FALSE,NaN,3,Allowed_With_Citation,1,3.436,NaN,Medium
125307,Business,Sophomore,2.981,0.71,Debugging/Troubleshooting,Beginner,3,FALSE,11.74,3,Strict_Ban,1,2.988,46.18,Medium
118328,STEM,Junior,3.4,13.41,Summarizing_Reading,Intermediate,1,FALSE,1.28,5,Allowed_With_Citation,1,3.39,72.31,Medium
121518,STEM,Graduate,2.868,1.95,Ideation,Advanced,NaN,FALSE,14.64,2,Actively_Encouraged,2,3.17,98.18,Low
118125,Humanities,Freshman,3.142,14.18,Copywriting/Drafting,Advanced,3,TRUE,12.96,4,Strict_Ban,9,3.222,72.64,Medium
137523,STEM,Freshman,NaN,NaN,Debugging/Troubleshooting,Intermediate,3,FALSE,NaN,4,Allowed_With_Citation,High,3.012,76.7,Low
132417,NaN,Senior,3.342,5.87,Copywriting/Drafting,Beginner,1,FALSE,7.67,3,Allowed_With_Citation,5,3.496,64.66,High
118719,STEM,Freshman,3.486,NaN,Copywriting/Drafting,Advanced,3,FALSE,9.65,7,Actively_Encouraged,6,3.757,89.2,High
124342,STEM,Graduate,3.049,29.35,Debugging/Troubleshooting,Beginner,2,TRUE,1.02,NaN,Allowed_With_Citation,2,3.01,74.49,High
134629,Humanities,Sophomore,3.477,2.21,Ideation,Advanced,3,FALSE,3.72,1,Actively_Encouraged,9,3.449,70.55,Low
115944,STEM,Junior,2.911,3.45,Debugging/Troubleshooting,Beginner,1,TRUE,23.45,4,Allowed_With_Citation,2,3.062,80.64,High
130156,NaN,Senior,2.419,1.16,Ideation,Advanced,3,TRUE,19.12,4,Actively_Encouraged,8,2.88,55.96,Low
114855,Humanities,Graduate,2.22,1.31,Copywriting/Drafting,Advanced,3,FALSE,11.5,1,Strict_Ban,4,2.252,79.65,Medium
104654,Arts,Graduate,2.888,NaN,Copywriting/Drafting,Beginner,3,FALSE,8.75,2,Actively_Encouraged,3,3.089,64.78,Medium
110884,NaN,Freshman,NaN,3.84,Ideation,Beginner,3,TRUE,10.62,1,Allowed_With_Citation,4,3.316,81.24,High
128041,STEM,Graduate,3.449,2.39,Ideation,Intermediate,2,FALSE,NaN,4,Allowed_With_Citation,4,3.783,80.34,Medium
127894,Humanities,Sophomore,3.402,3.74,Direct_Answer_Generation,Intermediate,3,TRUE,11.08,3,Allowed_With_Citation,3,3.736,90.71,Medium
106052,NaN,Senior,3.317,2.32,Debugging/Troubleshooting,Beginner,1,FALSE,NaN,2,Allowed_With_Citation,NaN,3.621,NaN,Medium
116917,Humanities,Freshman,3.084,0.92,Copywriting/Drafting,Beginner,1,TRUE,8.03,4,Allowed_With_Citation,8,3.272,84.31,Medium
107824,NaN,Sophomore,3.302,11.54,Copywriting/Drafting,Intermediate,2,TRUE,23.81,4,Allowed_With_Citation,7,3.785,85.56,Medium
103594,Business,Freshman,3.459,NaN,Summarizing_Reading,Beginner,3,TRUE,10.66,1,Allowed_With_Citation,4,3.72,61.07,NaN
114172,STEM,Graduate,2.961,1.3,Ideation,Advanced,5,FALSE,11.2,4,Allowed_With_Citation,3,3.082,NaN,Medium
146789,STEM,Senior,3.118,13.18,Debugging/Troubleshooting,Beginner,NaN,FALSE,5.87,3,Allowed_With_Citation,NaN,3.22,85.5,Medium
107830,STEM,Junior,3.001,NaN,NaN,Advanced,3,FALSE,7.17,6,Allowed_With_Citation,2,3.254,78.59,NaN
112590,Business,Sophomore,3.422,7.9,Ideation,Beginner,3,TRUE,6.25,2,Strict_Ban,1,3.571,68.17,Low
132871,STEM,Sophomore,3.426,0.21,Debugging/Troubleshooting,Intermediate,5,TRUE,11.4,3,Allowed_With_Citation,6,3.588,82.58,NaN
131348,Humanities,Sophomore,3.414,5.24,Direct_Answer_Generation,Intermediate,5,yes,9.88,3,Allowed_With_Citation,5,3.565,76.68,Medium
128774,STEM,Junior,3.397,10.82,Debugging/Troubleshooting,Intermediate,2,FALSE,13.32,4,Actively_Encouraged,4,3.579,66.93,Low
142147,STEM,Sophomore,3.233,9.78,Debugging/Troubleshooting,Beginner,3,FALSE,12.9,6,Allowed_With_Citation,4,3.511,56.38,Medium
118876,Medical,Freshman,3.568,4.28,Summarizing_Reading,Advanced,3,FALSE,11.34,NaN,Allowed_With_Citation,2,3.692,61.18,Medium
101234,STEM,Senior,3.437,NaN,Debugging/Troubleshooting,Intermediate,4,FALSE,11.93,4,NaN,2,3.84,NaN,Low
116023,STEM,Junior,2.019,5.53,Debugging/Troubleshooting,Beginner,2,TRUE,23.25,6,Allowed_With_Citation,4,2.565,72.97,High
139936,Humanities,Graduate,3.475,9.3,Copywriting/Drafting,Intermediate,2,FALSE,8.52,3,Actively_Encouraged,9,NaN,77.28,High
113692,STEM,Sophomore,3.47,13.8,Copywriting/Drafting,Beginner,1,TRUE,NaN,4,Actively_Encouraged,1,3.805,71.41,Medium
104767,Arts,Freshman,3.395,NaN,Direct_Answer_Generation,Intermediate,3,FALSE,17.09,1,Allowed_With_Citation,1,NaN,72.09,Low
146030,Business,Sophomore,3.879,16.98,Debugging/Troubleshooting,Advanced,4,TRUE,12.53,4,Actively_Encouraged,6,4,100,NaN
107678,Medical,Junior,3.647,2.47,Summarizing_Reading,Beginner,3,FALSE,NaN,5,Strict_Ban,2,3.894,99.9,Low
108278,Humanities,Graduate,3.637,5.06,Copywriting/Drafting,Beginner,2,TRUE,13.24,2,Allowed_With_Citation,4,4,63.21,Low
147997,STEM,Junior,3.482,33.46,Debugging/Troubleshooting,Beginner,2,FALSE,8.23,7,Actively_Encouraged,3,3.719,68.55,High
143810,Humanities,Sophomore,2.906,3.59,Copywriting/Drafting,Beginner,2,FALSE,15.32,2,Allowed_With_Citation,2,2.835,62.96,Medium
143995,Medical,Junior,3.038,11.33,NaN,Beginner,2,FALSE,8.04,4,Strict_Ban,5,3.221,77.6,Low
100089,Medical,Graduate,3.367,6.51,Summarizing_Reading,Beginner,3,TRUE,2.53,1,Actively_Encouraged,2,3.389,79.27,High
128251,STEM,Sophomore,3.511,NaN,Copywriting/Drafting,Intermediate,2,TRUE,12.6,2,NaN,4,3.979,100,Medium
146448,NaN,Junior,1.967,10.6,NaN,Intermediate,5,FALSE,9.45,4,Allowed_With_Citation,7,2.432,77.7,High
120195,Humanities,Junior,3.714,2.45,Summarizing_Reading,Beginner,1,FALSE,NaN,3,Allowed_With_Citation,3,4,88.32,Low
108135,Business,Senior,3.603,4.61,Ideation,Beginner,2,FALSE,10.14,2,Allowed_With_Citation,2,3.605,NaN,Low
140682,STEM,Graduate,NaN,20.98,Debugging/Troubleshooting,Intermediate,2,TRUE,14.91,7,Actively_Encouraged,7,3.546,74.15,Medium
127631,STEM,Junior,3.63,35.88,Debugging/Troubleshooting,Beginner,1,TRUE,2.69,8,Strict_Ban,8,3.547,75.05,NaN
122731,Humanities,Freshman,NaN,8.85,Ideation,Beginner,2,FALSE,17.51,2,Allowed_With_Citation,6,3.458,82.11,Low
128276,STEM,Sophomore,3.684,30.33,Summarizing_Reading,Beginner,3,TRUE,14.69,7,Allowed_With_Citation,7,3.871,67.44,High
130680,Humanities,Graduate,3.005,0.35,Copywriting/Drafting,Beginner,3,TRUE,8.6,1,Actively_Encouraged,4,2.95,67.08,Medium
131938,Arts,Junior,2.998,6.42,Ideation,Intermediate,2,TRUE,6.74,3,Allowed_With_Citation,1,2.975,84.34,Low
123666,Arts,Freshman,1.634,NaN,Direct_Answer_Generation,Beginner,2,FALSE,NaN,3,Actively_Encouraged,4,1.593,50.43,Medium
108597,Business,Freshman,3.195,21.13,Debugging/Troubleshooting,Advanced,3,FALSE,11.06,7,Allowed_With_Citation,3,3.445,100,Medium
117125,Humanities,Senior,3.701,4.18,Ideation,Beginner,NaN,FALSE,7.32,4,Allowed_With_Citation,11,NaN,67.52,Medium
138207,Medical,Freshman,2.952,15.77,Summarizing_Reading,Intermediate,2,FALSE,16.47,3,Allowed_With_Citation,3,3.236,91.67,Medium
142281,Arts,Freshman,3.92,2.96,Copywriting/Drafting,Beginner,1,TRUE,7.75,2,Actively_Encouraged,2,4,73.44,Low
114279,Arts,Graduate,3.617,NaN,Ideation,Advanced,5,TRUE,4.64,4,Actively_Encouraged,5,3.905,71.05,High
135393,Medical,Sophomore,NaN,17.39,Summarizing_Reading,Intermediate,3,TRUE,13.71,4,Strict_Ban,9,2.66,74.15,Medium
108306,NaN,Freshman,3.653,0.18,Debugging/Troubleshooting,Intermediate,3,FALSE,15.85,1,Strict_Ban,5,3.633,79.18,Low
118487,STEM,Junior,3.647,NaN,Direct_Answer_Generation,Beginner,2,FALSE,1,1,Strict_Ban,NaN,3.768,79.36,Low
121679,Arts,Sophomore,2.831,NaN,NaN,Advanced,4,FALSE,7.96,2,Actively_Encouraged,5,2.883,75.2,Medium
125161,Humanities,Junior,2.929,8.58,Debugging/Troubleshooting,Advanced,3,TRUE,11.78,4,Actively_Encouraged,1,3.379,NaN,Medium
114207,Humanities,Sophomore,3.253,6.37,Summarizing_Reading,Beginner,2,FALSE,10,4,Allowed_With_Citation,8,3.697,69.37,Low
126269,STEM,Freshman,3.455,12.17,NaN,Advanced,5,TRUE,17.12,NaN,Strict_Ban,4,3.912,100,NaN
128697,Business,Freshman,3.756,1.82,Summarizing_Reading,Beginner,2,FALSE,10.16,2,Allowed_With_Citation,4,3.786,75.59,Medium
115795,STEM,Junior,3.044,7.23,Debugging/Troubleshooting,Beginner,1,FALSE,15.43,2,Strict_Ban,6,3.522,68,Medium
140358,Business,Senior,3.666,4.96,Ideation,Beginner,2,FALSE,6.52,3,Allowed_With_Citation,1,3.664,63.65,Medium
117087,Arts,Junior,3.457,3.33,Direct_Answer_Generation,Beginner,1,FALSE,18.11,1,Strict_Ban,1,3.918,52.55,Low
140230,STEM,Freshman,3.184,40,Debugging/Troubleshooting,Advanced,5,FALSE,12.46,10,Actively_Encouraged,4,NaN,84.36,High
130727,Business,Freshman,2.578,3.96,Direct_Answer_Generation,Intermediate,4,TRUE,8.18,3,Allowed_With_Citation,4,2.536,60.67,Low
107761,Business,Sophomore,NaN,22.54,Copywriting/Drafting,Intermediate,3,FALSE,23.43,4,Actively_Encouraged,3,3.462,100,Medium
148052,Humanities,Sophomore,3.259,NaN,Copywriting/Drafting,Advanced,4,FALSE,20.74,1,Actively_Encouraged,1,3.79,84.05,Low
145729,STEM,Graduate,2.487,7.52,NaN,Beginner,3,FALSE,15.61,7,Allowed_With_Citation,4,2.869,60.43,High
143134,STEM,Junior,2.773,11.11,NaN,Advanced,3,TRUE,20.98,3,Strict_Ban,6,3.236,100,High
111098,Arts,Senior,2.885,5.44,NaN,Advanced,5,FALSE,5.52,3,Strict_Ban,4,3.067,73.65,Medium
109873,STEM,Junior,3.026,9.15,Copywriting/Drafting,Beginner,1,FALSE,8.37,5,Actively_Encouraged,1,NaN,70.27,NaN
125759,Humanities,Freshman,3.274,14.81,Debugging/Troubleshooting,Beginner,1,FALSE,4.32,5,Actively_Encouraged,6,3.258,79.07,Medium
134420,Humanities,Senior,NaN,100.67,Copywriting/Drafting,Beginner,2,TRUE,1,5,NaN,2,3.816,70.65,High
146627,Humanities,Freshman,2.14,0.13,NaN,Intermediate,2,TRUE,21.1,2,Allowed_With_Citation,2,2.302,90.57,Medium
127721,Business,Junior,3.715,25.06,Ideation,Intermediate,2,FALSE,9.06,4,Strict_Ban,9,3.857,84.33,High
136919,STEM,Graduate,2.429,12.75,Direct_Answer_Generation,Advanced,3,FALSE,6.09,4,NaN,5,2.631,88.83,Medium
109249,STEM,Junior,3.271,3.01,Debugging/Troubleshooting,Beginner,NaN,FALSE,10.41,5,Allowed_With_Citation,6,3.643,67.66,Medium
114988,NaN,Junior,3.199,1.52,Debugging/Troubleshooting,Advanced,3,TRUE,10.37,3,Allowed_With_Citation,4,3.609,71.21,Low
103571,NaN,Sophomore,NaN,4.56,Copywriting/Drafting,Intermediate,4,FALSE,9.92,1,NaN,5,3.878,NaN,NaN
135340,Business,Senior,2.054,3.58,Ideation,Intermediate,5,TRUE,9.67,3,Allowed_With_Citation,6,2.12,82.94,NaN
119198,Humanities,Sophomore,2.614,8.34,Copywriting/Drafting,Beginner,2,FALSE,9.57,NaN,Allowed_With_Citation,5,2.878,71.36,High
127901,Humanities,Freshman,2.284,13.57,Copywriting/Drafting,Intermediate,3,TRUE,16.35,4,Strict_Ban,9,2.322,69.69,High
122476,Humanities,Senior,2.893,1.59,Ideation,Intermediate,2,TRUE,7.34,1,Actively_Encouraged,1,2.907,76.48,Medium
139086,STEM,Sophomore,3.556,3.79,Copywriting/Drafting,Intermediate,3,FALSE,19.4,4,Allowed_With_Citation,5,3.711,75.5,Low
144945,Business,Junior,3.49,5.19,NaN,Beginner,3,TRUE,13.19,1,Allowed_With_Citation,3,3.682,73.9,Low
127594,Business,Senior,2.424,2.37,Ideation,Beginner,2,TRUE,10.69,4,Actively_Encouraged,low,2.632,78.08,Low
114164,NaN,Senior,3.505,NaN,Debugging/Troubleshooting,Intermediate,3,FALSE,5.3,4,Allowed_With_Citation,3,3.644,57.39,Low
100466,NaN,Senior,3.054,1.06,Ideation,Intermediate,2,FALSE,17.33,4,Strict_Ban,4,NaN,89.28,Medium
139504,Business,Sophomore,3.03,14.22,Ideation,Beginner,2,FALSE,16.34,3,Allowed_With_Citation,2,3.329,78.09,Low
115662,STEM,Freshman,NaN,4.53,Debugging/Troubleshooting,Advanced,4,TRUE,6.5,2,Strict_Ban,4,3.835,92.3,Low
111513,Arts,Junior,NaN,9.41,Copywriting/Drafting,Beginner,2,FALSE,15.2,7,Allowed_With_Citation,4,4,48.53,Low
108884,Humanities,Sophomore,3.533,7.72,Debugging/Troubleshooting,Beginner,2,TRUE,7.85,2,Allowed_With_Citation,6,3.768,76.76,NaN
109856,Humanities,Freshman,3.328,6.91,Copywriting/Drafting,Advanced,5,FALSE,5.28,2,Strict_Ban,1,3.468,83.43,Medium
101351,NaN,Freshman,3.786,18.23,NaN,Advanced,3,TRUE,4.49,4,Allowed_With_Citation,3,3.378,97.54,High
110742,Arts,Senior,3.875,2.99,Ideation,Advanced,3,FALSE,7.77,3,NaN,3,3.91,68.75,High
140577,Business,Senior,3.576,0.29,Ideation,Beginner,2,TRUE,4.39,3,Actively_Encouraged,2,3.485,64.13,NaN
126333,STEM,Graduate,3.149,3,Copywriting/Drafting,Intermediate,3,TRUE,1.72,NaN,Strict_Ban,1,NaN,88.94,NaN
142869,Medical,Graduate,3.816,4,Summarizing_Reading,Beginner,3,FALSE,11.25,2,Actively_Encouraged,1,4,78.28,Low
101697,STEM,Junior,2.194,7.81,Debugging/Troubleshooting,Intermediate,2,TRUE,1.41,4,Strict_Ban,6,2.315,83.66,High
131467,Medical,Sophomore,3.179,2.76,Summarizing_Reading,Advanced,5,FALSE,12.54,1,Allowed_With_Citation,4,3.35,52.77,Low
137186,Humanities,Sophomore,2.321,5.25,Ideation,Beginner,2,TRUE,11.46,3,Actively_Encouraged,5,2.402,69.1,Medium
102549,Humanities,Senior,2.962,15.61,Direct_Answer_Generation,Beginner,1,TRUE,12.26,5,Actively_Encouraged,6,3.067,70.92,High
148075,Business,Junior,2.589,3.95,Debugging/Troubleshooting,Beginner,3,FALSE,NaN,5,Allowed_With_Citation,4,3.064,83.07,NaN
130058,STEM,Sophomore,2.508,4.58,Ideation,Beginner,3,FALSE,9.13,4,Allowed_With_Citation,9,2.843,85.44,Low
149332,Medical,Junior,3.449,NaN,Copywriting/Drafting,Beginner,2,TRUE,13.61,3,Actively_Encouraged,5,3.681,66.12,Low
145925,STEM,Junior,3.311,2.34,Ideation,Intermediate,4,FALSE,8.78,1,Strict_Ban,4,3.777,88.39,Low
137750,Business,Sophomore,2.97,15.29,Ideation,Advanced,4,TRUE,NaN,3,Allowed_With_Citation,1,3.073,73.33,NaN
108886,Business,Freshman,2.388,1.99,Copywriting/Drafting,Beginner,2,FALSE,5.37,3,Actively_Encouraged,3,2.238,NaN,NaN
112771,Business,Sophomore,3.248,6.48,Summarizing_Reading,Intermediate,4,FALSE,11.51,2,Allowed_With_Citation,5,3.512,77.03,Low
117189,STEM,Graduate,3.637,40,Ideation,Beginner,2,TRUE,5.44,8,Allowed_With_Citation,6,3.722,59.86,High
147418,Arts,Senior,3.238,9.66,Copywriting/Drafting,Intermediate,1,TRUE,6,NaN,Allowed_With_Citation,NaN,3.634,79.74,High
128272,STEM,Junior,3.716,39.68,Copywriting/Drafting,Advanced,3,TRUE,11.62,5,Allowed_With_Citation,1,3.88,80.09,Medium
136007,Arts,Junior,2.284,6.03,Debugging/Troubleshooting,Intermediate,4,TRUE,6.18,3,Allowed_With_Citation,8,2.748,78.8,Medium
133141,Business,Freshman,3.746,2.94,Direct_Answer_Generation,Advanced,5,FALSE,3.36,3,Allowed_With_Citation,3,3.819,74.97,NaN
109275,Business,Freshman,3.081,14.18,NaN,Advanced,5,TRUE,13.31,5,Allowed_With_Citation,3,3.323,96.53,High
115909,NaN,Freshman,3.351,14.42,Copywriting/Drafting,Beginner,3,FALSE,1.89,4,Allowed_With_Citation,7,3.505,73.14,NaN
135988,NaN,Graduate,2.963,0.99,Copywriting/Drafting,Beginner,2,FALSE,8.62,1,Allowed_With_Citation,1,NaN,70.77,Low
125811,Business,Senior,NaN,4.83,Ideation,Beginner,1,FALSE,10.08,3,Allowed_With_Citation,3,2.961,56.96,Low
130598,Arts,Junior,3.583,7.19,Ideation,Beginner,3,FALSE,14.52,2,Actively_Encouraged,5,4,68.01,NaN
145592,Business,Senior,3.176,37.35,Copywriting/Drafting,Intermediate,1,TRUE,4.31,6,Actively_Encouraged,7,NaN,82.42,High
133676,Arts,Sophomore,3.578,9.06,Copywriting/Drafting,Beginner,3,FALSE,16.22,4,Allowed_With_Citation,4,NaN,79.84,NaN
102172,STEM,Freshman,2.74,10.29,Debugging/Troubleshooting,Beginner,1,TRUE,8.09,1,Allowed_With_Citation,6,2.907,53.38,Medium
119855,STEM,Freshman,3.552,2.05,NaN,Intermediate,2,FALSE,3.93,3,Allowed_With_Citation,9,3.635,97.47,Low
142460,Business,Senior,3.071,NaN,Copywriting/Drafting,Intermediate,3,FALSE,5.7,1,Actively_Encouraged,1,3.133,96.3,Low
121100,Business,Senior,3.236,10.49,NaN,Advanced,3,FALSE,16.35,3,Actively_Encouraged,5,3.658,92.81,High
133320,NaN,Sophomore,2.278,8.67,Summarizing_Reading,Beginner,3,TRUE,2.7,2,Allowed_With_Citation,6,2.421,77.47,Medium
131734,Medical,Freshman,2.951,2.02,Direct_Answer_Generation,Advanced,4,FALSE,14.1,3,Allowed_With_Citation,2,N/A,77.23,Medium
109998,Medical,Sophomore,NaN,7.09,Summarizing_Reading,Beginner,2,TRUE,11.87,3,Actively_Encouraged,1,1.89,70.27,High
116689,Business,Freshman,NaN,13.49,Debugging/Troubleshooting,Beginner,3,TRUE,8.36,4,Strict_Ban,5,3.651,55.81,High
116865,Humanities,Freshman,3.205,8.06,Summarizing_Reading,Advanced,5,FALSE,6.71,3,Allowed_With_Citation,2,3.384,74.03,Medium
133575,Business,Freshman,2.838,4.1,Ideation,Beginner,2,TRUE,11.57,2,Allowed_With_Citation,4,3.184,76,Low
133275,NaN,Junior,3.069,3.47,Direct_Answer_Generation,Beginner,1,FALSE,6.89,1,Allowed_With_Citation,2,3.38,NaN,NaN
109099,Medical,Junior,NaN,0.5,NaN,Beginner,3,FALSE,8.56,NaN,Allowed_With_Citation,3,3.499,76.29,Low
138604,Medical,Sophomore,3.435,1.14,Copywriting/Drafting,Beginner,1,FALSE,3.71,3,Strict_Ban,2,3.743,38.31,Medium
106755,STEM,Sophomore,3.557,3.45,Direct_Answer_Generation,Beginner,1,TRUE,13.68,4,Allowed_With_Citation,3,3.688,NaN,Low
145613,Medical,Sophomore,2.993,9.58,Summarizing_Reading,Beginner,2,FALSE,10.32,2,Actively_Encouraged,4,NaN,73.51,Low
137070,STEM,Freshman,3.655,0.37,Copywriting/Drafting,Advanced,5,FALSE,13.41,1,Allowed_With_Citation,4,3.639,59.89,NaN
136277,STEM,Sophomore,1.622,9.49,Debugging/Troubleshooting,Beginner,1,TRUE,7.27,4,Allowed_With_Citation,NaN,1.883,68.5,Medium
108357,STEM,Junior,3.534,9.95,Debugging/Troubleshooting,Intermediate,3,FALSE,5.37,4,Actively_Encouraged,3,3.947,75.74,NaN
126703,Business,Junior,2.716,16.77,Ideation,Advanced,3,TRUE,8.29,4,Allowed_With_Citation,3,3.191,NaN,Low
109225,Medical,Junior,2.265,2.25,Debugging/Troubleshooting,Intermediate,3,FALSE,20,2,Strict_Ban,4,2.775,77.76,Medium
133104,Medical,Junior,2.979,10.75,Summarizing_Reading,Beginner,2,TRUE,19.35,7,Actively_Encouraged,7,3.185,81.64,Medium
136291,STEM,Sophomore,3.329,7.62,Debugging/Troubleshooting,Advanced,4,TRUE,10.91,5,Actively_Encouraged,9,3.823,100,Low
124587,Humanities,Junior,3.086,0.95,NaN,Beginner,2,FALSE,15.02,1,Allowed_With_Citation,6,3.26,67.17,High
126374,STEM,Junior,3.37,7.84,Direct_Answer_Generation,Intermediate,NaN,TRUE,22.69,1,NaN,1,3.862,73.67,Low
139872,STEM,Sophomore,3.675,0.88,NaN,Intermediate,1,FALSE,17.18,4,Allowed_With_Citation,6,4,86.42,Medium
144237,Medical,Junior,3.299,3.13,NaN,Advanced,3,FALSE,11.27,2,Allowed_With_Citation,4,3.49,100,Medium
123429,STEM,Senior,2.466,33.95,Direct_Answer_Generation,Intermediate,3,TRUE,8.77,8,Allowed_With_Citation,5,2.251,46.57,High
